ra,dec,ug,gi,iK,JK,logP,Ampl,skew,kurt,magMed,nObs,LCtype,LINEARobjectID
193.535950,1156,118,1000,340,-0.1756613,371,-229,-1133,14.05,454,1,7706724,
192.548157,1208,-420,466,190,-0.3417577,848,-1004,171,15.32,485,1,7707014,
193.036392,-0.492146,1183,297,1295,349,-0.2498929,747,-677,-703,15.61,457,1,7712495,
193.775192,-0.095125,1131,185,1173,415,-0.2492333,692,-823,-86,16.11,459,1,7716220,
193.185837,-0.420235,1228,-90,843,220,-0.3978770,425,-28,-1468,15.51,451,2,7723123,
192.052063,1213,182,952,203,-0.2511076,675,-453,-625,16.02,533,1,7723614,
192.310623,-0.823721,1142,119,1131,462,-0.4876652,518,-66,-834,16.90,274,2,7724094,
192.042709,-9.346195,1241,149,559,-83,-0.2478216,750,-459,-935,15.98,283,1,7735376,
192.086472,-177,563,46,-0.5421574,357,166,-1215,15.52,354,2,7736895,
193.576431,15.152588,1179,328,1132,266,-0.1460020,336,212,-833,15.49,242,1,7753267,
192.157013,18.173662,1049,303,1373,309,-0.2045705,389,-533,-506,15.33,247,1,7769095,
193.669037,19.800840,1151,312,928,376,-0.3077357,956,-125,-1095,16.36,129,1,7776303,
192.803421,20.286787,1237,108,1176,580,-0.4554321,382,1128,4632,16.48,253,2,7779915,
193.613617,21.914156,1185,217,1244,394,-0.3316420,935,-1102,-63,15.93,281,1,7787834,
193.458893,22.310991,1120,111,723,131,-0.3981202,449,-492,-14,15.81,243,2,7792311,
193.540222,25.452072,1217,147,1069,365,-0.2813497,837,-607,-411,16.44,237,1,7805413,
192.117538,25.389986,1164,214,936,182,-0.3211203,804,-883,-29,16.36,236,1,7810484,
192.325165,28.824236,1222,-253,374,-68,-0.3102278,815,-801,-103,15.79,253,1,7811366,
192.909531,30.517605,1161,105,838,301,-0.2657028,680,-806,-268,15.44,294,1,7819052,
192.678391,30.198463,1252,-1,742,102,-0.2191133,503,281,-169,16.45,269,1,7820016,
192.370682,1143,25,754,250,-0.4080121,419,-319,-204,15.10,385,2,7827663,
193.219513,1148,183,834,317,-0.2618054,634,93,-474,15.77,362,1,7836810,
193.022354,-2.001992,1191,348,939,217,-0.2531884,744,-471,-473,16.67,437,1,7844345,
193.758469,-2.048500,1200,232,1065,351,-0.2584561,872,-872,399,16.65,447,1,7846640,
193.385544,-2.141564,1193,-368,1407,150,-0.2644873,705,-616,-851,14.24,445,1,7849619,
193.807480,-1.768378,1239,135,1094,429,-0.1912146,528,3190,38067,16.51,448,1,7852994,
192.278717,-1.072736,1228,-207,669,175,-0.3272946,881,-920,-339,14.74,466,1,7853020,
192.979095,31.303843,1148,295,1117,233,-0.2665122,680,-608,-856,14.88,253,1,7856049,
193.463181,32.165527,1156,30,952,141,-0.3717674,525,-721,-594,15.15,231,2,7862277,
192.502731,31.139986,1239,-107,715,311,-0.2704449,720,-653,-509,14.35,286,1,7862348,
193.697235,31.279213,1221,-76,590,159,-0.5297219,460,-261,-1552,14.87,270,2,7862869,
192.516724,34.519218,1177,207,1047,277,-0.1762559,453,-658,-643,15.63,241,1,7868255,
193.411575,36.097267,1155,238,1100,245,-0.2787840,1012,-588,-1064,16.40,284,1,7874933,
192.574036,42.958359,1169,62,708,26,-0.4475386,470,-449,-215,16.20,202,2,7892817,
193.869812,41.705845,1138,362,1175,264,-0.2567325,800,61,398,16.91,297,1,7897530,
193.035202,43.068619,1166,275,717,-43,-0.1593458,704,-574,-532,15.60,192,1,7904246,
192.930634,45.832630,1174,162,1001,293,-0.4455023,403,-837,-309,15.05,204,2,7907059,
193.318054,46.927338,1250,-206,492,252,-0.2604126,819,-499,-551,15.85,263,1,7908628,
192.131699,1182,-144,1143,417,-0.3218396,963,-591,-735,15.86,270,1,7925995,
192.639877,1198,-97,760,284,-0.4831184,355,-75,-1349,14.89,328,2,7933373,
193.669189,51.672707,1115,70,935,171,-0.4411715,504,-74,-964,14.97,218,2,7946773,
192.690598,52.493977,1140,191,1321,298,-0.2777504,862,-769,-559,16.43,240,1,7949405,
193.009766,55.127403,1224,-5,884,251,-0.2570935,1257,2094,8423,16.17,186,1,7956170,
193.218262,56.481277,1192,121,686,50,-0.1805857,748,-781,6,16.65,194,1,7956265,
193.321686,65.910072,1112,104,909,30,-0.4459981,526,-421,-1153,14.98,218,2,7977207,
193.026123,1204,-102,849,259,-0.5640951,260,4172,32450,15.41,323,2,7984971,
192.580872,1135,328,1169,66,-0.2123135,607,171,-80,16.96,332,1,7990577,
192.449814,-5.440079,1184,125,1208,787,-0.3127440,915,-409,-651,16.89,465,1,7997579,
192.426468,1246,-35,759,337,-0.1932151,531,183,-1245,15.39,296,1,8003415,
192.888489,10.942532,1146,278,867,223,-0.1351639,450,-478,-533,15.33,490,1,8010233,
192.343582,-8.074609,1215,48,649,270,-0.1495039,707,-867,1239,14.61,378,1,8013409,
192.257553,-8.346890,1146,151,1004,274,-0.4370781,408,-107,-1268,15.46,367,2,8015684,
194.708893,1145,255,1357,235,-0.3183057,899,-777,-476,16.01,472,1,8027315,
195.370056,1170,21,911,280,-0.4390645,428,24,-1619,15.20,438,2,8036191,
194.377655,-0.645329,1195,70,1014,352,-0.5234742,435,-190,-1251,16.05,454,2,8037245,
195.008759,12.045880,1139,270,1151,145,-0.2500999,939,-671,-747,15.33,285,1,8052673,
194.461578,13.401148,1171,362,1024,317,-0.1940597,704,-461,-381,16.38,240,1,8057988,
194.314972,16.906448,1150,43,1002,236,-0.4425120,370,-167,-1334,14.98,233,2,8071805,
194.971970,15.188179,1126,-515,1233,339,-0.2772797,792,-485,400,15.15,226,1,8071882,
195.456985,18.274937,1238,97,1126,672,-0.1922918,801,-376,-880,16.82,188,1,8076889,
194.902740,18.183931,1190,-4,862,291,-0.4644945,440,167,-825,16.49,223,2,8078575,
194.510651,19.900358,1216,-142,713,340,-0.5336499,458,380,-1146,15.70,249,2,8085093,
195.188248,19.799278,1160,240,1308,391,-0.3335962,1091,-594,-1065,16.95,220,1,8088756,
194.647339,22.164145,1227,-96,911,288,-0.4451282,413,-53,-715,16.59,281,2,8096970,
195.523560,22.910625,1191,-44,748,240,-0.4650086,367,43,-768,16.25,272,2,8097511,
195.542191,21.268801,1147,337,1202,106,-0.2662107,696,-395,-623,16.35,236,1,8100474,
195.028503,24.633385,1075,215,1012,187,-0.2448450,595,-171,-1146,16.45,204,1,8107761,
194.213333,28.176411,1203,-77,762,207,-0.5881414,344,-37,-1443,14.65,178,2,8125320,
194.342010,28.888737,1205,29,915,213,-0.1992238,440,-1377,3896,14.80,204,1,8127317,
194.967819,30.242186,621,265,1074,87,-0.2738338,655,-667,-382,14.38,187,1,8129190,
194.128448,29.893110,1194,164,996,303,-0.1933995,402,-111,-147,14.91,256,1,8130793,
194.891785,30.323505,1192,350,1338,404,-0.2107437,510,-192,-1302,15.60,248,1,8132908,
195.021820,29.492382,1255,-76,790,531,-0.5331546,676,809,2162,16.80,223,2,8133468,
194.474350,1159,41,1024,308,-0.5626824,411,422,-1072,15.20,486,2,8140987,
195.821198,1214,308,978,241,-0.2073065,405,54,-623,16.28,359,1,8145151,
194.182999,-1.030658,1170,322,1340,333,-0.2301834,618,-535,-726,16.11,445,1,8153152,
195.229980,-2.974645,1228,117,937,159,-0.4438965,348,-358,-986,14.99,442,2,8153673,
194.512939,-2.009413,1159,340,1069,331,-0.1672536,660,-236,-877,16.77,455,1,8154564,
195.104446,-1.696498,1168,219,874,348,-0.2786462,645,-1268,986,14.57,211,1,8155947,
194.870789,32.035946,1165,308,1036,223,-0.2248930,894,1859,10591,16.15,241,1,8173247,
194.731644,33.458027,1239,-72,804,286,-0.2435404,956,1110,4659,16.93,273,1,8175767,
194.581223,36.814941,1203,143,972,331,-0.1885563,475,-469,-933,15.26,297,1,8185242,
194.648514,42.745415,1237,-171,862,311,-0.2692299,685,-727,-337,16.54,199,1,8204721,
194.986633,42.911652,1182,195,630,148,-0.1612491,578,-69,-843,16.01,175,1,8205369,
194.984711,41.902855,1231,-146,739,225,-0.2863071,906,-940,-51,15.97,254,1,8207815,
195.553070,43.255791,1256,-219,885,614,-0.3122062,897,-130,-308,16.62,264,1,8214374,
195.518799,46.592819,1177,22,1014,438,-0.4547931,536,-118,-752,15.86,264,2,8222011,
195.168259,47.473671,1203,35,899,283,-0.4565665,385,-243,-862,15.69,107,2,8224922,
194.688248,50.652481,1168,325,1418,402,-0.1934591,674,-580,-888,15.85,238,1,8229040,
195.425262,50.187519,1147,141,692,13,-0.3902840,397,74,-677,16.25,162,2,8230589,
195.757919,1080,254,1230,335,-0.2204533,881,-939,282,16.14,45,1,8244381,
195.601089,1116,186,1092,255,-0.5522437,636,525,1369,16.75,273,2,8245702,
194.613235,-3.601799,1181,298,1264,269,-0.3235085,951,-765,-542,14.35,251,1,8249262,
195.493652,-3.572212,1146,58,825,86,-0.2471161,830,-734,-335,14.72,449,1,8250507,
195.185593,-3.361642,1233,-197,546,193,-0.2782438,802,-681,-604,16.26,124,1,8255199,
194.937729,54.999027,1154,108,729,381,-0.2749072,1030,-609,-109,16.58,215,1,8264035,
194.751923,56.337360,1165,145,1011,221,-0.2852671,742,-800,-560,15.75,197,1,8267062,
195.924835,1189,19,1031,291,-0.3966088,488,4594,22858,15.80,304,2,8298331,
194.517670,1182,-52,945,470,-0.1061279,849,-892,-169,16.80,318,1,8306649,
194.915771,10.152297,1126,258,1301,519,-0.1481958,354,5610,46707,16.49,290,1,8307613,
195.103882,1197,68,972,366,-0.2812094,837,-713,-557,15.81,331,1,8311517,
194.313919,1242,-9,836,150,-0.2128429,624,-22,265,16.89,337,1,8313260,
194.518311,1124,302,1289,369,-0.2662757,798,-665,-773,14.03,218,1,8316634,
196.717377,1170,284,1268,199,-0.2950444,852,-486,-955,15.56,475,1,8318076,
196.660843,1207,350,1125,254,-0.2514701,694,-415,-940,15.97,428,1,8318215,
196.299759,1180,286,1169,359,-0.2253765,538,65,-1099,15.39,388,1,8325365,
197.541321,1266,-48,881,147,-0.5726081,408,-138,-1295,15.32,430,2,8331094,
197.815186,-0.483295,1186,355,1281,363,-0.2700525,876,-467,-689,16.86,466,1,8337518,
197.340454,-0.718894,1182,328,1312,450,-0.1821313,510,-65,-207,16.33,473,1,8338209,
196.295364,1240,-233,476,221,-0.3282849,871,-739,-734,15.58,491,1,8342007,
196.413849,-0.321095,1179,335,1032,263,-0.2442836,763,-741,-300,15.42,474,1,8343291,
197.823929,-0.574983,1186,269,1048,366,-0.2229736,806,-591,-856,15.79,40,1,8344348,
196.553986,12.443865,1246,-208,566,208,-0.5620101,384,1832,6650,15.61,249,2,8351552,
197.950272,14.052027,1380,210,1013,300,-0.1943965,325,1095,4829,16.39,237,1,8359936,
197.047043,16.088171,1144,299,1165,146,-0.2918895,962,-698,-816,15.24,231,1,8366927,
196.940338,15.548370,1186,270,985,175,-0.1870839,661,-703,-31,16.28,257,1,8370218,
196.556931,16.782764,1165,99,1041,359,-0.4727091,410,-10,-970,16.79,211,2,8373230,
197.649796,18.019579,1136,147,1057,259,-0.4195929,542,-384,-660,16.47,197,2,8378112,
196.209198,18.597033,1084,340,1217,181,-0.1468124,670,-26,-557,16.97,234,1,8380961,
196.733124,18.045458,1131,238,1069,327,-0.1858037,705,-151,-388,16.65,205,1,8384110,
196.420059,19.967760,1143,-36,1290,216,-0.2164158,733,-512,-746,15.05,239,1,8386990,
197.798035,19.387695,1166,203,952,150,-0.2953717,909,-449,-870,16.06,230,1,8395250,
196.553436,21.187796,1174,240,995,216,-0.2148403,421,-525,-585,15.42,93,1,8397579,
197.600800,23.481667,1114,332,1078,363,-0.1760428,607,-635,-701,15.93,260,1,8405435,
196.717377,25.117437,1244,79,915,182,-0.4903271,323,183,-1205,15.71,236,2,8418765,
196.279251,26.380417,1172,219,1163,360,-0.1951630,641,-7,-630,16.79,278,1,8421216,
197.373672,27.016451,317,1204,1287,262,-0.2066567,322,-98,-976,14.13,236,1,8426776,
197.797073,28.582657,1155,295,1219,64,-0.3295018,1052,-328,-956,15.75,299,1,8428593,
196.530457,1151,171,1051,180,-0.1856392,566,-201,-1210,14.60,289,1,8440861,
197.836777,1169,328,1098,268,-0.2292834,665,-588,-198,15.67,353,1,8453011,
197.730881,33.724323,1173,94,1259,392,-0.1993853,751,409,1535,16.28,265,1,8482990,
197.871628,35.547771,1153,199,950,136,-0.3004068,619,-1058,764,16.44,243,1,8491405,
196.398453,39.295296,1148,310,1067,73,-0.3191372,986,-493,-962,15.73,219,1,8503727,
196.284973,39.259117,576,676,908,235,-0.5000092,374,248,196,14.36,210,2,8505209,
196.512436,46.111958,1171,125,783,59,-0.4986696,472,7,-1386,15.73,233,2,8520012,
196.544235,47.636662,1120,-281,1029,103,-0.3043476,1012,-252,-324,15.31,215,1,8530918,
197.557617,49.371338,1154,343,833,284,-0.1854574,425,-259,-677,15.32,180,1,8535481,
197.300735,1178,250,1221,291,-0.2785761,791,428,4235,15.36,323,1,8540533,
197.938385,52.869282,1148,354,1130,337,-0.1929828,383,741,1744,16.11,185,1,8556012,
197.769806,54.540668,1169,319,908,80,-0.2388799,650,-419,-37,16.17,189,1,8561625,
197.846405,53.291298,1137,321,1202,376,-0.2264476,797,-983,45,15.74,227,1,8564618,
196.781326,58.010883,1230,-115,695,159,-0.2395315,771,-264,-1259,15.83,188,1,8574195,
196.405792,59.999321,1106,16,915,283,-0.2896787,600,-933,311,15.36,154,1,8578437,
197.585358,61.922729,1219,343,1072,327,-0.2574665,578,-1020,574,15.45,176,1,8581632,
196.704620,65.360107,1186,192,850,330,-0.2655434,667,-676,-393,15.75,219,1,8590640,
196.690414,1163,123,1045,376,-0.4789391,378,425,-237,15.63,318,2,8595866,
197.671600,1164,328,1171,365,-0.2023330,552,2405,10862,16.73,217,1,8596593,
196.557220,10.969880,1159,245,1016,256,-0.2890166,413,-1653,2684,14.71,171,1,8607779,
196.398438,1190,315,1308,287,-0.2461321,512,-2407,5849,15.00,217,1,8608952,
197.497513,1149,308,1313,516,-0.2273696,536,-671,-526,15.77,277,1,8610884,
196.021317,10.491907,1136,300,1098,143,-0.2337106,587,-612,-485,15.50,252,1,8610949,
197.006241,10.280703,1225,364,944,109,-0.2207131,522,-168,-1108,16.53,269,1,8611846,
196.667221,1198,354,988,93,-0.1532721,394,-8,-894,16.05,285,1,8618638,
199.819214,1118,320,1040,220,-0.1766993,663,-49,-376,16.56,335,1,8620327,
199.563400,1303,-143,527,337,-0.3402701,749,-1246,1049,14.50,226,1,8623110,
199.230148,1205,308,1189,205,-0.2053684,575,64,-632,16.49,359,1,8627194,
199.734268,1194,331,1539,476,-0.2392527,789,-190,-914,16.87,379,1,8630471,
198.673340,1120,340,1159,347,-0.1878878,518,190,-1171,15.70,71,1,8631163,
199.372986,1238,-73,843,439,-0.4593690,380,29,-1442,15.31,343,2,8637808,
199.527618,-0.550070,1208,28,953,362,-0.4632005,404,17,-1037,15.92,444,2,8640362,
199.184540,1131,357,948,195,-0.2221037,629,-423,-939,16.00,489,1,8641088,
199.321320,1226,-134,228,120,-0.2049093,922,-655,-694,16.07,480,1,8646040,
198.994232,12.745577,1196,351,1143,345,-0.3063768,1009,-279,837,16.51,228,1,8649255,
199.944824,14.672713,1119,-297,1522,267,-0.3368232,755,3314,15735,14.28,194,1,8658610,
198.689423,16.519341,1267,-39,731,389,-0.2563186,714,-794,-125,15.71,228,1,8669917,
198.175491,18.277149,1135,289,1142,403,-0.1987452,854,-145,44,16.90,221,1,8678641,
199.936157,18.307268,1151,167,1021,309,-0.3847530,415,3,-1310,15.98,230,2,8679000,
198.148941,18.088913,1183,30,1166,476,-0.4076644,526,612,499,16.78,199,2,8679369,
198.664917,17.196907,1103,265,1098,166,-0.1741702,800,-753,-285,15.70,205,1,8680084,
198.250641,18.034407,1136,255,1462,503,-0.2713095,872,651,1973,16.81,204,1,8680372,
198.997238,17.741034,1116,303,873,-100,-0.1889977,862,-267,-655,16.68,211,1,8681167,
199.171799,17.636238,1079,425,1190,391,-0.1457735,651,602,230,16.54,198,1,8681440,
198.367615,18.086958,1113,340,1150,366,-0.2024285,853,-404,-1083,16.75,187,1,8683059,
199.472488,18.672516,1183,-112,1296,158,-0.4559915,364,1571,5697,14.13,224,2,8684437,
199.049606,17.802996,1130,364,1212,427,-0.1306321,459,-42,-633,16.54,211,1,8686093,
198.162842,18.095072,1118,328,1366,534,-0.1942083,722,-196,-49,16.76,192,1,8686111,
199.533493,27.962011,1179,306,1074,174,-0.2453475,670,-376,-315,16.70,255,1,8729307,
199.532349,28.896784,1213,4,886,216,-0.1584459,616,-9,-1061,16.13,280,1,8730052,
199.975220,29.706247,1142,194,1066,316,-0.3943438,489,-459,-22,16.15,285,2,8735344,
198.789398,30.230989,1122,378,1012,74,-0.1998330,397,-236,-49,16.64,277,1,8738578,
198.852982,1161,346,1424,484,-0.2138003,510,-136,-589,15.87,307,1,8742110,
199.317123,1197,162,1042,352,-0.4834329,791,-701,-500,16.48,296,2,8745173,
198.701950,1156,306,1262,436,-0.2822397,758,-680,-725,15.63,317,1,8745394,
198.504593,1100,328,992,400,-0.2517065,836,-731,-260,15.90,241,1,8747835,
199.471054,1133,223,1215,343,-0.2507895,773,-670,-401,16.12,295,1,8750363,
199.340317,-1.152368,1244,-160,871,473,-0.5370108,319,403,279,16.48,445,2,8756859,
198.097015,32.154686,1195,371,1083,350,-0.2267784,642,-301,-932,16.00,242,1,8775452,
198.256836,31.022581,1210,57,925,241,-0.4587654,463,-73,-1019,15.07,276,2,8776072,
199.312164,33.920971,1225,-231,679,122,-0.5439317,380,-2,-1240,15.62,236,2,8780321,
199.264343,36.116112,1213,285,1105,300,-0.1691618,413,-306,-425,14.76,202,1,8786633,
199.485886,37.980606,1175,179,1164,239,-0.2682018,499,-854,214,15.09,244,1,8797911,
198.840195,37.709221,1168,120,1025,374,-0.4847104,518,761,-229,16.31,280,2,8799313,
199.200958,39.272022,1147,303,1296,310,-0.2544131,601,-518,-873,16.17,235,1,8802205,
199.885590,41.992893,1204,280,1265,545,-0.2830622,874,-49,1425,16.64,234,1,8807945,
199.732773,43.516838,1199,273,1164,239,-0.2972585,841,-1104,230,15.88,228,1,8820406,
198.754425,44.144142,1182,361,916,278,-0.1879119,410,-476,-448,15.04,165,1,8820713,
199.365555,45.887833,1174,353,973,235,-0.1771045,384,199,-915,15.30,211,1,8823736,
198.314484,46.818806,1221,204,1086,389,-0.2728835,962,216,291,16.51,190,1,8827417,
199.296280,-3.190474,1158,147,1025,288,-0.2481261,383,-251,-1067,14.49,336,1,8853237,
199.176849,-3.341861,1177,28,944,296,-0.4590714,482,-42,-1116,15.81,336,2,8854248,
198.086838,53.694553,1072,350,1242,333,-0.2101155,448,-446,-1105,15.16,241,1,8866444,
199.447433,53.691292,1231,266,1086,162,-0.2963201,802,-918,286,16.12,218,1,8867725,
199.834549,55.408535,1148,224,1106,189,-0.3464364,1068,-409,-1012,16.70,200,1,8869325,
199.949509,1136,153,1101,141,-0.4412170,422,154,-1237,16.36,290,2,8896747,
199.769562,1196,276,1158,-51,-0.3351108,1030,-1066,-190,15.04,270,1,8901601,
199.782654,1164,323,994,291,-0.1472981,498,1268,5795,15.50,302,1,8902279,
199.670395,10.252372,1167,159,1063,394,-0.2897395,744,-637,-179,16.72,259,1,8907563,
199.576004,1175,-38,926,225,-0.4442757,389,-10,-984,16.57,257,2,8907625,
198.905594,10.491501,1135,345,1123,207,-0.3094397,714,-1309,794,15.37,266,1,8914489,
200.621536,1162,274,1277,226,-0.2866103,756,-408,-95,16.52,202,1,8922628,
201.717773,1156,182,1061,775,-0.2528944,757,-612,-389,16.43,317,1,8927173,
201.575409,1064,347,1221,233,-0.1818064,626,-1020,118,15.15,294,1,8929826,
201.470917,1099,238,1186,241,-0.3152668,963,-625,-920,14.90,302,1,8930253,
201.603928,-0.436719,1206,259,1157,9,-0.2960315,750,-905,365,16.56,385,1,8933546,
200.217743,11.086424,1151,298,841,255,-0.1747700,765,-235,-1237,14.84,202,1,8951269,
200.632919,12.711329,1195,286,1144,194,-0.2828715,791,-478,-467,15.49,239,1,8952153,
201.820618,11.159245,1304,-117,601,457,-0.2615991,897,-457,-1021,16.29,200,1,8955278,
201.386551,16.828897,1178,-96,662,105,-0.4516474,467,-933,-246,15.50,185,2,8972895,
200.136398,19.156210,1220,12,894,179,-0.4732021,493,393,-712,15.91,213,2,8988488,
200.159180,22.977123,1227,-75,822,255,-0.4700668,383,137,-1518,15.10,273,2,8999679,
200.140488,22.448383,1187,75,793,94,-0.5088835,437,-21,-1517,15.21,216,2,9001883,
201.652847,21.562477,1128,188,1472,573,-0.3933865,518,-310,-386,16.67,245,2,9005186,
200.115982,23.860775,1134,280,1331,655,-0.1406803,444,223,-323,16.34,256,1,9011013,
200.686188,23.678465,1202,116,895,235,-0.2557445,703,-503,-721,15.64,281,1,9014689,
200.494827,25.909035,1213,-6,925,369,-0.5667023,491,350,-464,16.46,249,2,9017843,
200.087662,26.295805,1113,185,1168,90,-0.1826264,923,102,-118,16.33,268,1,9017927,
201.793243,25.528849,1204,189,828,-28,-0.2468737,725,-169,-1040,16.50,217,1,9018303,
201.763596,25.139877,1140,320,1221,180,-0.2858799,923,-870,-443,16.32,273,1,9022659,
201.283340,26.164223,1163,35,849,277,-0.4057467,452,4446,35227,15.18,267,2,9025455,
201.608002,30.885332,1239,-64,627,158,-0.4712953,360,285,-863,15.80,237,2,9038263,
200.491745,29.135283,1195,-23,518,216,-0.2312916,577,-222,-975,15.84,224,1,9041967,
201.881332,1148,-351,690,537,-0.3195258,842,-599,-549,16.26,271,1,9054729,
200.791473,-2.082048,1121,318,954,297,-0.2397389,776,-395,-1110,15.27,467,1,9063194,
201.028091,-2.991242,1237,-22,709,174,-0.4679096,345,66,-1388,14.47,391,2,9065043,
201.304642,-2.613052,1200,27,702,72,-0.3308105,1040,-840,-473,16.42,452,1,9066685,
201.022385,-2.090850,1196,73,894,275,-0.2118960,920,-480,-880,16.39,447,1,9070238,
200.816010,-1.337823,1170,245,875,120,-0.2432202,508,-1167,355,15.18,82,1,9072660,
201.151428,31.055796,1087,329,1483,414,-0.1525618,622,-137,193,16.32,240,1,9073923,
201.832031,32.803555,1150,-287,741,330,-0.2996580,912,-764,-431,15.59,264,1,9075982,
201.107605,34.072773,1145,379,1042,251,-0.1237117,360,101,-384,15.87,225,1,9087253,
201.229813,35.391300,1171,-57,959,419,-0.4772793,490,-119,1374,16.68,238,2,9093796,
201.425140,37.425053,1147,140,975,196,-0.2226936,604,-339,-783,16.02,230,1,9097272,
201.784668,38.745075,1220,-11,911,378,-0.2008511,490,-455,-772,15.21,253,1,9099158,
200.144913,38.513859,1231,267,1079,371,-0.2160878,480,-2,-732,15.89,221,1,9101955,
200.397720,43.196232,1199,220,843,156,-0.3159585,882,-598,563,16.49,230,1,9122839,
200.366013,45.169266,1164,336,1270,349,-0.2857298,967,-295,-859,16.65,66,1,9127357,
200.831665,45.180927,1224,296,923,281,-0.2939072,1072,-493,-454,15.69,180,1,9129158,
200.731842,48.932869,1177,277,1158,158,-0.2743277,363,3768,27480,15.04,157,1,9132182,
201.960022,50.352013,1174,-84,436,301,-0.2502405,832,-89,-1059,16.56,204,1,9141213,
201.613617,1205,-157,692,181,-0.4489137,404,-73,-100,16.26,269,2,9142645,
201.430511,1201,113,829,313,-0.2190292,895,1439,10344,14.20,234,1,9150148,
201.581558,1210,-180,526,197,-0.2819711,750,-701,-697,16.53,243,1,9153907,
200.249802,51.769814,1162,309,817,112,-0.2801701,859,-891,-447,16.42,240,1,9162236,
200.713333,58.385170,1188,296,1292,194,-0.2693712,675,-1087,21,15.40,174,1,9176715,
200.325104,60.373669,1200,-51,823,81,-0.5342529,621,658,2217,16.33,184,2,9184719,
201.944977,64.007538,1206,182,965,355,-0.2222079,350,-296,-1146,15.59,133,1,9192820,
201.231155,64.554497,1108,-39,1071,294,-0.4433104,1286,1766,2104,14.48,67,2,9193259,
200.048630,1093,302,1131,221,-0.2143093,565,-629,-331,16.22,302,1,9208280,
203.984634,1192,-241,603,64,-0.2943467,919,-882,-125,15.92,281,1,9223072,
202.468704,1199,50,1049,340,-0.4523902,415,-92,-964,15.12,352,2,9227464,
202.843475,-0.377856,1147,165,1368,436,-0.4527546,543,-352,-616,16.43,444,2,9236215,
203.716919,1168,250,1370,269,-0.3087178,520,-803,-434,15.19,400,1,9245012,
203.967682,-0.618528,1217,333,779,159,-0.2610997,699,-606,-497,15.31,410,1,9246950,
202.798599,1257,-187,693,174,-0.4871915,450,177,-1439,16.08,366,2,9250025,
203.220520,1211,281,1060,366,-0.2260404,582,-543,-693,16.21,379,1,9250453,
202.017639,12.943364,1248,-199,329,211,-0.2930664,889,-591,-610,16.82,224,1,9251983,
202.884537,12.187437,1200,-1,912,163,-0.5121309,370,315,-1174,15.84,198,2,9255057,
202.514984,11.462157,1257,-200,894,381,-0.5242780,410,-1446,8550,15.98,198,2,9255284,
203.236572,12.663672,410,355,1220,204,-0.5229570,498,-221,-1226,14.40,178,2,9257473,
202.782318,13.738115,1175,16,817,186,-0.1703193,521,35,-140,16.10,196,1,9265911,
202.230148,13.060854,1173,329,1106,360,-0.2038887,407,-152,-874,16.09,226,1,9267798,
202.773453,16.606159,1133,275,1307,279,-0.2489073,713,-1335,1362,15.26,183,1,9273467,
202.048904,17.851280,1190,-382,496,148,-0.3328320,832,-960,118,15.36,206,1,9282556,
203.019165,18.517466,1260,36,955,292,-0.2289287,444,103,-985,15.96,220,1,9286563,
203.511780,18.413124,1177,272,989,-95,-0.2723522,701,-540,-469,16.63,234,1,9288982,
203.541870,17.554588,1123,145,1043,375,-0.4472162,401,-440,-1107,16.48,185,2,9289929,
202.288803,18.004742,1195,172,1123,740,-0.1423527,651,1613,9239,16.89,188,1,9290338,
202.041183,20.226143,1172,433,1217,314,-0.0833008,438,-181,-1410,14.36,181,1,9294430,
203.771210,19.838522,1182,46,898,286,-0.4391827,476,-397,-1082,15.73,228,2,9297056,
203.822418,20.513472,1018,1482,242,-0.4855518,445,175,-805,14.04,135,2,9301274,
202.830872,22.908859,1127,300,1260,465,-0.3154293,951,-646,-585,15.68,272,1,9304586,
202.643250,22.286440,1090,325,1224,309,-0.1726010,622,-359,-790,16.37,250,1,9306104,
202.183304,25.154661,1218,343,948,216,-0.2317587,651,-33,217,16.08,267,1,9321631,
203.731003,26.450106,1204,335,1243,374,-0.2414279,354,-906,572,15.13,222,1,9325665,
203.996964,26.704563,1235,-64,565,249,-0.4925692,567,229,-1217,16.27,231,2,9329336,
202.147278,30.070438,1220,145,905,157,-0.3168845,963,-266,-682,17.00,232,1,9340123,
202.974991,30.003031,1223,25,725,21,-0.3001744,781,-306,-782,14.77,235,1,9345335,
202.349976,1167,332,1179,365,-0.2023960,466,-99,-1078,15.66,229,1,9354080,
203.976898,1196,-97,563,81,-0.5110983,522,-142,-1342,16.47,278,2,9356158,
202.974350,1194,77,1063,307,-0.4660603,344,520,519,15.70,275,2,9357126,
203.521500,1126,231,1380,378,-0.2676891,630,-464,-754,16.29,248,1,9357148,
203.943756,-2.553945,1211,283,951,408,-0.1747602,675,-248,-891,15.53,398,1,9362275,
202.721756,-2.534827,1143,321,1428,465,-0.2337195,711,-533,-775,15.99,436,1,9362756,
203.353424,-1.119782,1174,260,1112,330,-0.0799419,307,109,-1024,14.23,425,1,9363924,
202.754593,-2.432726,1220,-159,457,-4,-0.5375556,423,70,-1321,14.89,446,2,9365776,
203.940964,31.861443,1090,163,1007,343,-0.1371242,347,91,-1162,14.87,271,1,9385020,
202.993622,34.657787,1146,109,1082,338,-0.1413510,558,-186,154,16.91,285,1,9389680,
203.088593,36.076691,1199,25,755,235,-0.4528322,328,198,-1343,14.98,229,2,9395078,
